TRIAL_NR,NAWL_NR,WORD,WORD_EMO,WORD_LIST,WORD_TYPE,ANSWER,ACC,RT
1,2586,weranda,NEU,TREN,TREN,z,False,0.7642590999603271
2,2679,ptak,NEU,TREN,TREN,z,False,0.24299001693725586
1,1895,zemsta,NEG,B,new,z,True,0.25431013107299805
2,123,oskarżenie,NEG,B,new,z,True,0.24903297424316406
3,2019,safari,POS,A,exp,z,False,0.2604498863220215
4,308,instytucja,NEU,B,new,z,True,0.39916300773620605
5,768,fortuna,POS,B,new,z,True,0.30857205390930176
6,2876,gniew,NEG,B,new,z,True,0.3491830825805664
7,2527,zegar,NEU,B,new,z,True,0.37265706062316895
8,129,wdzięk,POS,B,new,z,True,0.41064906120300293
9,1086,chrząszcz,NEU,B,new,z,True,0.3673272132873535
10,1980,rywal,NEG,B,new,z,True,0.32599401473999023
11,234,autorytet,POS,B,new,z,True,0.30208516120910645
12,1612,odwaga,POS,A,exp,z,False,0.2954130172729492
13,1728,para,POS,A,exp,z,False,0.28890490531921387
14,2104,ból,NEG,A,exp,z,False,0.3622779846191406
