1.7720 	INFO 	Screen res set as: 1920x1080
1.7725 	INFO 	Loaded calibration from:2015_04_13 10:20
1.7726 	INFO 	['2015_04_13 10:20']
1.7732 	INFO 	configured pyglet screen 0
1.9755 	INFO 	Using gamma table of operating system
2.3746 	INFO 	Detected framerate: 30 frames per sec.
2.4518 	INFO 	Mouse: using default window
2.4743 	EXP 	ImageStim: autoLog = None
2.4743 	EXP 	ImageStim: units = None
2.4743 	EXP 	ImageStim: useShaders = None
2.4743 	EXP 	ImageStim: size = None
2.4743 	EXP 	ImageStim: pos = None
2.4743 	EXP 	ImageStim: ori = None
2.4743 	EXP 	ImageStim: depth = None
2.4743 	EXP 	ImageStim: contrast = None
2.4743 	EXP 	ImageStim: opacity = None
2.4743 	EXP 	TextStim: autoLog = None
2.4743 	EXP 	TextStim: units = None
2.4743 	EXP 	TextStim: useShaders = None
2.4743 	EXP 	TextStim: depth = None
2.4743 	EXP 	TextStim: ori = None
2.4743 	EXP 	TextStim: pos = None
2.4743 	EXP 	TextStim: colorSpace = None
2.4743 	EXP 	TextStim: opacity = None
2.4743 	EXP 	TextStim: contrast = None
2.4743 	EXP 	TextStim: autoLog = None
2.4743 	EXP 	TextStim: units = None
2.4743 	EXP 	TextStim: useShaders = None
2.4743 	EXP 	TextStim: depth = None
2.4743 	EXP 	TextStim: ori = None
2.4743 	EXP 	TextStim: pos = None
2.4743 	EXP 	TextStim: colorSpace = None
2.4743 	EXP 	TextStim: opacity = None
2.4743 	EXP 	TextStim: contrast = None
2.4743 	EXP 	TextStim: autoLog = None
2.4743 	EXP 	TextStim: units = None
2.4743 	EXP 	TextStim: useShaders = None
2.4743 	EXP 	TextStim: depth = None
2.4743 	EXP 	TextStim: ori = None
2.4743 	EXP 	TextStim: pos = None
2.4743 	EXP 	TextStim: colorSpace = None
2.4743 	EXP 	TextStim: opacity = None
2.4743 	EXP 	TextStim: contrast = None
2.4743 	EXP 	TextStim: autoLog = None
2.4743 	EXP 	TextStim: units = None
2.4743 	EXP 	TextStim: useShaders = None
2.4743 	EXP 	TextStim: depth = None
2.4743 	EXP 	TextStim: ori = None
2.4743 	EXP 	TextStim: pos = None
2.4743 	EXP 	TextStim: colorSpace = None
2.4743 	EXP 	TextStim: opacity = None
2.4743 	EXP 	TextStim: contrast = None
2.4743 	EXP 	TextStim: autoLog = None
2.4743 	EXP 	TextStim: units = None
2.4743 	EXP 	TextStim: useShaders = None
2.4743 	EXP 	TextStim: depth = None
2.4743 	EXP 	TextStim: ori = None
2.4743 	EXP 	TextStim: pos = None
2.4743 	EXP 	TextStim: colorSpace = None
2.4743 	EXP 	TextStim: opacity = None
2.4743 	EXP 	TextStim: contrast = None
3.2569 	DATA 	Keypress: space
3.2911 	EXP 	TextStim: autoLog = None
3.2911 	EXP 	TextStim: units = None
3.2911 	EXP 	TextStim: useShaders = None
3.2911 	EXP 	TextStim: depth = None
3.2911 	EXP 	TextStim: ori = None
3.2911 	EXP 	TextStim: pos = None
3.2911 	EXP 	TextStim: colorSpace = None
3.2911 	EXP 	TextStim: opacity = None
3.2911 	EXP 	TextStim: contrast = None
3.2911 	EXP 	TextStim: autoDraw = None
3.7078 	EXP 	TextStim: autoDraw = None
3.7244 	EXP 	TextStim: autoDraw = None
4.4886 	DATA 	Keypress: z
4.5077 	EXP 	TextStim: autoDraw = None
4.5077 	EXP 	TextStim: autoDraw = None
4.5077 	EXP 	TextStim: autoDraw = None
4.5077 	EXP 	ImageStim: autoDraw = None
4.5077 	EXP 	TextStim: autoDraw = None
5.5244 	EXP 	TextStim: autoLog = None
5.5244 	EXP 	TextStim: units = None
5.5244 	EXP 	TextStim: useShaders = None
5.5244 	EXP 	TextStim: depth = None
5.5244 	EXP 	TextStim: ori = None
5.5244 	EXP 	TextStim: pos = None
5.5244 	EXP 	TextStim: colorSpace = None
5.5244 	EXP 	TextStim: opacity = None
5.5244 	EXP 	TextStim: contrast = None
5.5244 	EXP 	TextStim: autoDraw = None
5.9410 	EXP 	TextStim: autoDraw = None
5.9577 	EXP 	TextStim: autoDraw = None
6.2006 	DATA 	Keypress: z
6.2244 	EXP 	TextStim: autoDraw = None
6.2244 	EXP 	TextStim: autoDraw = None
6.2244 	EXP 	TextStim: autoDraw = None
6.2244 	EXP 	ImageStim: autoDraw = None
6.2244 	EXP 	TextStim: autoDraw = None
7.2410 	EXP 	TextStim: autoLog = None
7.2410 	EXP 	TextStim: units = None
7.2410 	EXP 	TextStim: useShaders = None
7.2410 	EXP 	TextStim: depth = None
7.2410 	EXP 	TextStim: ori = None
7.2410 	EXP 	TextStim: pos = None
7.2410 	EXP 	TextStim: colorSpace = None
7.2410 	EXP 	TextStim: opacity = None
7.2410 	EXP 	TextStim: contrast = None
8.0086 	DATA 	Keypress: space
8.0408 	EXP 	TextStim: autoLog = None
8.0408 	EXP 	TextStim: units = None
8.0408 	EXP 	TextStim: useShaders = None
8.0408 	EXP 	TextStim: depth = None
8.0408 	EXP 	TextStim: ori = None
8.0408 	EXP 	TextStim: pos = None
8.0408 	EXP 	TextStim: colorSpace = None
8.0408 	EXP 	TextStim: opacity = None
8.0408 	EXP 	TextStim: contrast = None
8.0408 	EXP 	TextStim: autoDraw = None
8.4576 	EXP 	TextStim: autoDraw = None
8.4743 	EXP 	TextStim: autoDraw = None
8.7286 	DATA 	Keypress: z
8.7575 	EXP 	TextStim: autoDraw = None
8.7575 	EXP 	TextStim: autoDraw = None
8.7575 	EXP 	TextStim: autoDraw = None
8.7575 	EXP 	ImageStim: autoDraw = None
8.7575 	EXP 	TextStim: autoDraw = None
9.7742 	EXP 	TextStim: autoLog = None
9.7742 	EXP 	TextStim: units = None
9.7742 	EXP 	TextStim: useShaders = None
9.7742 	EXP 	TextStim: depth = None
9.7742 	EXP 	TextStim: ori = None
9.7742 	EXP 	TextStim: pos = None
9.7742 	EXP 	TextStim: colorSpace = None
9.7742 	EXP 	TextStim: opacity = None
9.7742 	EXP 	TextStim: contrast = None
9.7742 	EXP 	TextStim: autoDraw = None
10.1909 	EXP 	TextStim: autoDraw = None
10.2076 	EXP 	TextStim: autoDraw = None
10.4566 	DATA 	Keypress: z
10.4742 	EXP 	TextStim: autoDraw = None
10.4742 	EXP 	TextStim: autoDraw = None
10.4742 	EXP 	TextStim: autoDraw = None
10.4742 	EXP 	ImageStim: autoDraw = None
10.4742 	EXP 	TextStim: autoDraw = None
11.4908 	EXP 	TextStim: autoLog = None
11.4908 	EXP 	TextStim: units = None
11.4908 	EXP 	TextStim: useShaders = None
11.4908 	EXP 	TextStim: depth = None
11.4908 	EXP 	TextStim: ori = None
11.4908 	EXP 	TextStim: pos = None
11.4908 	EXP 	TextStim: colorSpace = None
11.4908 	EXP 	TextStim: opacity = None
11.4908 	EXP 	TextStim: contrast = None
11.4908 	EXP 	TextStim: autoDraw = None
11.9075 	EXP 	TextStim: autoDraw = None
11.9242 	EXP 	TextStim: autoDraw = None
12.1846 	DATA 	Keypress: z
12.2075 	EXP 	TextStim: autoDraw = None
12.2075 	EXP 	TextStim: autoDraw = None
12.2075 	EXP 	TextStim: autoDraw = None
12.2075 	EXP 	ImageStim: autoDraw = None
12.2075 	EXP 	TextStim: autoDraw = None
13.2241 	EXP 	TextStim: autoLog = None
13.2241 	EXP 	TextStim: units = None
13.2241 	EXP 	TextStim: useShaders = None
13.2241 	EXP 	TextStim: depth = None
13.2241 	EXP 	TextStim: ori = None
13.2241 	EXP 	TextStim: pos = None
13.2241 	EXP 	TextStim: colorSpace = None
13.2241 	EXP 	TextStim: opacity = None
13.2241 	EXP 	TextStim: contrast = None
13.2241 	EXP 	TextStim: autoDraw = None
13.6407 	EXP 	TextStim: autoDraw = None
13.6574 	EXP 	TextStim: autoDraw = None
14.0565 	DATA 	Keypress: z
14.0741 	EXP 	TextStim: autoDraw = None
14.0741 	EXP 	TextStim: autoDraw = None
14.0741 	EXP 	TextStim: autoDraw = None
14.0741 	EXP 	ImageStim: autoDraw = None
14.0741 	EXP 	TextStim: autoDraw = None
15.0908 	EXP 	TextStim: autoLog = None
15.0908 	EXP 	TextStim: units = None
15.0908 	EXP 	TextStim: useShaders = None
15.0908 	EXP 	TextStim: depth = None
15.0908 	EXP 	TextStim: ori = None
15.0908 	EXP 	TextStim: pos = None
15.0908 	EXP 	TextStim: colorSpace = None
15.0908 	EXP 	TextStim: opacity = None
15.0908 	EXP 	TextStim: contrast = None
15.0908 	EXP 	TextStim: autoDraw = None
15.5074 	EXP 	TextStim: autoDraw = None
15.5240 	EXP 	TextStim: autoDraw = None
15.8326 	DATA 	Keypress: z
15.8572 	EXP 	TextStim: autoDraw = None
15.8572 	EXP 	TextStim: autoDraw = None
15.8572 	EXP 	TextStim: autoDraw = None
15.8572 	EXP 	ImageStim: autoDraw = None
15.8572 	EXP 	TextStim: autoDraw = None
