No. NAWL,NAWL_word,Category (NEG-POS-NEU),List (A-B)
78,alarm,NEG,A
2445,alkoholik,NEG,A
119,atak,NEG,A
2340,awantura,NEG,A
1737,awaria,NEG,A
166,bieda,NEG,A
700,błąd,NEG,A
414,bomba,NEG,A
2104,ból,NEG,A
2848,cela,NEG,A
739,cham,NEG,A
1305,cierpienie,NEG,A
503,dyktatura,NEG,A
1545,gówno,NEG,A
1047,idiota,NEG,A
2044,karaluch,NEG,A
1088,klatka,NEG,A
1403,kłamstwo,NEG,A
2834,kłótnia,NEG,A
87,koszmar,NEG,A
120,lęk,NEG,A
1469,masakra,NEG,A
1584,morderstwo,NEG,A
108,napad,NEG,A
1673,nerwica,NEG,A
2563,niepokój,NEG,A
2553,nieszczęście,NEG,A
2214,niewolnica,NEG,A
578,obrzydzenie,NEG,A
1708,ofiara,NEG,A
1748,pasożyt,NEG,A
1071,pomyłka,NEG,A
1676,porażka,NEG,A
2321,potknięcie,NEG,A
1861,problem,NEG,A
958,przeszkoda,NEG,A
163,przykrość,NEG,A
83,samotność,NEG,A
2166,sekta,NEG,A
2130,szmata,NEG,A
2432,śmierć,NEG,A
2448,tortura,NEG,A
2034,trumna,NEG,A
1302,trup,NEG,A
2337,uderzenie,NEG,A
2351,upadek,NEG,A
1948,wpadka,NEG,A
2051,wstyd,NEG,A
214,wybuch,NEG,A
2598,zepsucie,NEG,A
1583,zgon,NEG,A
497,złodziej,NEG,A
162,złość,NEG,A
1303,zwłoki,NEG,A
168,areszt,NEG,B
1825,bankructwo,NEG,B
2107,brud,NEG,B
897,getto,NEG,B
2876,gniew,NEG,B
723,gorączka,NEG,B
365,guz,NEG,B
1723,huragan,NEG,B
2328,kara,NEG,B
41,katastrofa,NEG,B
144,kolejka,NEG,B
1588,komar,NEG,B
1203,konflikt,NEG,B
878,krzyk,NEG,B
1287,lawina,NEG,B
1422,mafia,NEG,B
2515,mdłości,NEG,B
2357,nałóg,NEG,B
1650,nazista,NEG,B
2546,niezgoda,NEG,B
17,odejście,NEG,B
123,oskarżenie,NEG,B
820,oszust,NEG,B
2255,pająk,NEG,B
1735,panika,NEG,B
753,powódź,NEG,B
35,pożegnanie,NEG,B
469,pożyczka,NEG,B
890,przemoc,NEG,B
2595,przestępstwo,NEG,B
1911,rozbój,NEG,B
1980,rywal,NEG,B
863,rzeź,NEG,B
779,samobójstwo,NEG,B
2116,strach,NEG,B
2633,strata,NEG,B
514,sztylet,NEG,B
811,szubienica,NEG,B
46,ścieki,NEG,B
611,trzęsienie,NEG,B
1232,wojna,NEG,B
2433,wróg,NEG,B
926,wstręt,NEG,B
218,wydatek,NEG,B
2545,wypadek,NEG,B
2576,wyrok,NEG,B
1144,zabójca,NEG,B
849,zakładnik,NEG,B
185,zamach,NEG,B
2507,zamieszki,NEG,B
1661,zazdrość,NEG,B
2325,zderzenie,NEG,B
1895,zemsta,NEG,B
1648,żmija,NEG,B
160,archiwum,NEU,A
1276,ciężarówka,NEU,A
333,dziedzina,NEU,A
971,dźwignia,NEU,A
1310,ekran,NEU,A
693,fasada,NEU,A
1143,głaz,NEU,A
1921,grabie,NEU,A
1390,hasło,NEU,A
1085,kabel,NEU,A
2855,kartka,NEU,A
1146,kiosk,NEU,A
2843,kopalnia,NEU,A
2821,kostka,NEU,A
1073,kurtka,NEU,A
1340,leksykon,NEU,A
1363,linijka,NEU,A
1369,lista,NEU,A
1267,ładunek,NEU,A
1162,łopian,NEU,A
1383,łyżka,NEU,A
1431,magnes,NEU,A
1117,makulatura,NEU,A
1566,miesiąc,NEU,A
341,miotła,NEU,A
1638,nazwisko,NEU,A
1646,nos,NEU,A
2532,obrót,NEU,A
823,obszar,NEU,A
9,odbitka,NEU,A
2503,oddział,NEU,A
39,odstęp,NEU,A
431,okulary,NEU,A
1804,pęseta,NEU,A
711,pięta,NEU,A
1602,pionek,NEU,A
2442,pojemnik,NEU,A
2207,posiedzenie,NEU,A
45,przedział,NEU,A
1664,resztka,NEU,A
1968,rewir,NEU,A
1022,stołek,NEU,A
96,sygnalizator,NEU,A
419,szczecina,NEU,A
2833,szczypce,NEU,A
345,sztućce,NEU,A
2115,śruba,NEU,A
2384,taryfa,NEU,A
1458,teczka,NEU,A
1574,torfowisko,NEU,A
1775,wahadło,NEU,A
1342,ważka,NEU,A
366,worek,NEU,A
2530,zakres,NEU,A
1506,cecha,NEU,B
1086,chrząszcz,NEU,B
74,czynność,NEU,B
513,dokument,NEU,B
1129,gardło,NEU,B
610,groch,NEU,B
308,instytucja,NEU,B
1743,karton,NEU,B
1321,kierownica,NEU,B
1308,klej,NEU,B
1213,kopia,NEU,B
1178,kość,NEU,B
1228,kreda,NEU,B
2346,krzesło,NEU,B
1120,kukiełka,NEU,B
2417,lada,NEU,B
1374,licencja,NEU,B
1822,lokalizacja,NEU,B
1685,notariusz,NEU,B
1697,obiekt,NEU,B
1332,odczyt,NEU,B
1892,odsetek,NEU,B
398,ołów,NEU,B
731,palec,NEU,B
1633,paznokieć,NEU,B
705,pilnik,NEU,B
1456,płaszcz,NEU,B
2221,podeszwa,NEU,B
479,pokrywka,NEU,B
1268,położenie,NEU,B
1915,pomieszczenie,NEU,B
1855,prasa,NEU,B
658,produkt,NEU,B
1194,przecinek,NEU,B
505,przedmiot,NEU,B
2659,przedstawiciel,NEU,B
2683,przybudówka,NEU,B
517,puszka,NEU,B
1902,rampa,NEU,B
1936,regulator,NEU,B
1958,rekrut,NEU,B
159,robotnik,NEU,B
2008,runda,NEU,B
1718,segregator,NEU,B
2182,sitko,NEU,B
1754,slogan,NEU,B
2306,stempel,NEU,B
478,sufit,NEU,B
2189,sylaba,NEU,B
2273,szpulka,NEU,B
2728,ściana,NEU,B
570,wgląd,NEU,B
1357,winda,NEU,B
2527,zegar,NEU,B
76,aktywność,POS,A
155,aplauz,POS,A
907,blask,POS,A
579,ekstaza,POS,A
868,geniusz,POS,A
1039,humor,POS,A
1089,kakao,POS,A
1177,knajpa,POS,A
1437,maj,POS,A
819,małżonek,POS,A
1348,miłość,POS,A
1606,muzyka,POS,A
1408,ochota,POS,A
1612,odwaga,POS,A
311,oklaski,POS,A
1312,osiągnięcie,POS,A
1076,oświadczyny,POS,A
1728,para,POS,A
1757,partner,POS,A
840,pensja,POS,A
1353,piosenka,POS,A
1375,pochwała,POS,A
1950,podróż,POS,A
2809,pożądanie,POS,A
1854,premiera,POS,A
785,przyjaciel,POS,A
1746,raj,POS,A
2151,rejs,POS,A
2019,safari,POS,A
1001,serce,POS,A
2056,skarb,POS,A
2002,sława,POS,A
2227,sobota,POS,A
622,spełnienie,POS,A
400,spojrzenie,POS,A
618,sukces,POS,A
913,szczęście,POS,A
2472,ślub,POS,A
874,śpiew,POS,A
2376,talent,POS,A
2048,tworzenie,POS,A
2573,urlop,POS,A
826,urodziny,POS,A
1265,uśmiech,POS,A
977,uzdrowienie,POS,A
125,uznanie,POS,A
2800,weekend,POS,A
213,widok,POS,A
631,wspomnienie,POS,A
288,wyzwoliciel,POS,A
550,zapał,POS,A
565,zaproszenie,POS,A
2184,zwycięstwo,POS,A
2818,życzenie,POS,A
543,ambicja,POS,B
234,autorytet,POS,B
203,awans,POS,B
2537,biesiada,POS,B
1635,bliskość,POS,B
2816,cud,POS,B
506,dyplom,POS,B
688,fantazja,POS,B
745,flirt,POS,B
768,fortuna,POS,B
1017,hobby,POS,B
542,honor,POS,B
1758,impreza,POS,B
680,jazda,POS,B
561,jedność,POS,B
1084,klejnot,POS,B
1272,krajobraz,POS,B
2226,lato,POS,B
1373,literatura,POS,B
1427,magia,POS,B
1172,mądrość,POS,B
1544,misja,POS,B
1494,mistrz,POS,B
825,narodziny,POS,B
1749,perfumy,POS,B
467,podziękowanie,POS,B
558,pomysł,POS,B
1432,posiłek,POS,B
979,powrót,POS,B
633,poznanie,POS,B
876,prezent,POS,B
2529,przełom,POS,B
2245,przyjemność,POS,B
781,radość,POS,B
2879,schronienie,POS,B
2177,seks,POS,B
2262,sport,POS,B
1253,sztuka,POS,B
2416,teatr,POS,B
835,uczucie,POS,B
460,urok,POS,B
708,wakacje,POS,B
129,wdzięk,POS,B
909,wiara,POS,B
2602,wielbiciel,POS,B
2483,wierność,POS,B
2674,willa,POS,B
796,wiosna,POS,B
1079,wiwat,POS,B
778,wolność,POS,B
762,wsparcie,POS,B
217,wycieczka,POS,B
1386,wynagrodzenie,POS,B
629,wypoczynek,POS,B
2586,weranda,NEU,TREN
276,znaczenie,NEU,TREN
1791,plaster,NEU,TREN
2679,ptak,NEU,TREN
1738,panorama,NEU,TREN
1225,krawat,NEU,TREN
1807,stok,NEU,TREN
247,balon,NEU,TREN
